dataset,outcome,distance,cor
toefl,Reading,featural_dist,-0.293186034109835
toefl,Reading,script_dist,-0.0869261159421325
toefl,Reading,geographic_dist,-0.303317404703537
toefl,Reading,genetic_dist,-0.329622334806457
toefl,Reading,syntactic_dist,-0.303926066887393
toefl,Reading,morphological_dist,-0.255933895012551
toefl,Reading,phonological_dist,-0.390059951134606
toefl,Reading,inventory_dist,-0.0990883510324107
toefl,Listening,featural_dist,-0.328730038919363
toefl,Listening,script_dist,-0.155450070892705
toefl,Listening,geographic_dist,-0.405580646933801
toefl,Listening,genetic_dist,-0.376154485553642
toefl,Listening,syntactic_dist,-0.348897235402162
toefl,Listening,morphological_dist,-0.294768010637385
toefl,Listening,phonological_dist,-0.417372025961611
toefl,Listening,inventory_dist,-0.105885983522642
toefl,Speaking,featural_dist,-0.342122014028428
toefl,Speaking,script_dist,-0.206278775714908
toefl,Speaking,geographic_dist,-0.348884250511024
toefl,Speaking,genetic_dist,-0.415087645039835
toefl,Speaking,syntactic_dist,-0.359056847520254
toefl,Speaking,morphological_dist,-0.243328793748668
toefl,Speaking,phonological_dist,-0.309542357341953
toefl,Speaking,inventory_dist,-0.201381345434327
toefl,Writing,featural_dist,-0.324675089469902
toefl,Writing,script_dist,-0.0957080761442078
toefl,Writing,geographic_dist,-0.245602255400681
toefl,Writing,genetic_dist,-0.367534025445061
toefl,Writing,syntactic_dist,-0.318172579850484
toefl,Writing,morphological_dist,-0.221918635072191
toefl,Writing,phonological_dist,-0.391639683971219
toefl,Writing,inventory_dist,-0.181794033000634
toefl,Total,featural_dist,-0.354421138274832
toefl,Total,script_dist,-0.145296024842554
toefl,Total,geographic_dist,-0.361974064286441
toefl,Total,genetic_dist,-0.408188456357936
toefl,Total,syntactic_dist,-0.365359789263507
toefl,Total,morphological_dist,-0.287949868533759
toefl,Total,phonological_dist,-0.421185923810284
toefl,Total,inventory_dist,-0.156818681133949
